stage,factor_name,decision,model,source_model_dir,quick_rank_ic,quick_rank_icir,net_sharpe,mean_turnover,net_ann_return,net_excess_ann_return,expression,source_artifact
focused,llmgen.llmgen_vwap_typical_medvol20,research_winner,deepseek-v3.1,deepseek-v3.1,0.0896455036532072,0.7608326215062498,6.295373748212872,0.2907346445619619,4.9904317529882425,0.6595116205612095,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), div(volume, add(ts_med(volume, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/02_deepseek-v3.1/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_turn_confirm20,research_keep,qwen3.5-plus,qwen3.5-plus,0.0892936506050773,0.7571126173927133,6.255328033844464,0.294400641596448,4.941316188652543,0.645507142833029,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), div(turnover, add(ts_mean(turnover, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.llmgen_vwap_turnover_confirm20,research_keep,deepseek-v3.1,deepseek-v3.1,0.0891589933042377,0.7570043498667162,6.281506377215077,0.2945587041163015,4.952835473277701,0.6481720770635746,"neg(mul(sub(volume_weighted_mean(close, turnover, 20), ts_mean(div(add(add(high, low), close), 3), 20)), div(turnover, add(ts_mean(turnover, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/02_deepseek-v3.1/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_turnrank_20,research_keep,claude-sonnet-4-6,claude-sonnet-4-6,0.0841647421491861,0.7553800674090104,6.090172093878131,0.4018790287279689,4.403516059343683,0.5004904251733451,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), ts_rank(turnover, 20)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_03/01_quality_parent/20260511_141139_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_141144_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_med_turnconfirm_20,research_winner,qwen3.5-plus,qwen3.5-plus,0.0719735008433136,0.7549594601912861,6.165444784349876,0.3003147707947548,3.6006238041947918,0.2796727237960863,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_med(div(add(add(high, low), close), 3), 20)), decay_linear(div(turnover, add(ts_mean(turnover, 40), 1e-12)), 5)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_03/01_quality_parent/20260511_141139_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_141144_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_mean_turnrank_20,research_keep,qwen3.5-plus,qwen3.5-plus,0.0862967395096457,0.7547862742909323,5.74392552727344,0.365660645435066,3.975766718581105,0.3362019920915047,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(close, 20)), ts_rank(turnover, 40)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_02/01_quality_parent/20260511_133656_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_133701_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_vol60_confirm20,research_winner,qwen3.5-plus,qwen3.5-plus,0.0893784117028061,0.7547069441861146,6.258142716302247,0.2947839730740298,4.978352419014201,0.6548897439486356,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), div(volume, add(ts_mean(volume, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_04/01_quality_parent/20260511_144638_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_144644_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
broad,llmgen.vwap_mean_relvol_confirm,research_winner,claude-sonnet-4-6,claude-sonnet-4-6,0.0873615255804102,0.7531580420319279,5.764326338281793,0.3762148439178578,4.411598475331968,0.5004726297371684,"neg(mul(sub(volume_weighted_mean(close, volume, 10), ts_mean(close, 10)), decay_linear(div(volume, add(ts_mean(volume, 20), 1e-12)), 5)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/broad_runs/20260511_081153_qp_weighted_price_centroid/multi_runs/round_02/01_quality_parent/20260511_084241_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_084247_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_typical_vol_decay_confirm20,research_winner,qwen3.5-plus,qwen3.5-plus,0.0891589599556314,0.7505733453391737,6.273307075523222,0.3002026792536946,5.010992111644154,0.6641178594093109,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(div(add(add(high, low), close), 3), 20)), div(volume, add(decay_linear(volume, 60), 1e-12))))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_05/01_quality_parent/20260511_152129_qp_weighted_price_centroid/child_runs/03_qwen3.5-plus/20260511_152135_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
focused,llmgen.vwap_mean_volrank_confirm,research_keep,claude-sonnet-4-6,claude-sonnet-4-6,0.0853486880144506,0.7499643322525829,5.837459830630572,0.4000965877966136,4.045133301818164,0.3714919755320791,"neg(mul(sub(volume_weighted_mean(close, volume, 20), ts_mean(close, 20)), ts_rank(volume, 20)))",artifacts/runs/llm_refine_family_loop/20260511_081152_qp_weighted_price_centroid/focused_runs/20260511_130501_qp_weighted_price_centroid/multi_runs/round_02/01_quality_parent/20260511_133656_qp_weighted_price_centroid/child_runs/04_claude-sonnet-4-6/20260511_133701_qp_weighted_price_centroid/evaluation/family_backtest_selection_summary.csv
